year,desplazados,value
1993,50224,50224
1994,54722,104946
1995,106937,211883
1996,139086,350969
1997,252198,603167
1998,241534,844701
1999,272542,1117243
2000,588281,1705524
2001,660500,2366024
2002,764523,3130547
2003,458117,3588664
2004,421243,4009907
2005,476854,4486761
2006,462029,4948790
2007,488084,5436874
2008,438715,5875589
2009,264542,6140131
2010,231427,6371558
2011,280696,6652254
2012,272905,6925159
2013,302340,7227499
2014,301594,7529093
2015,226515,7755608
2016,120487,7876095
2017,75425,7951520